33,A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Outras infecções bacterianas intestinais especificadas,A04.8 Outr infecc bacter intestinais espec,
34,A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",Infecção intestinal bacteriana não especificada,A04.9 Infecc intestinal bacter NE,
35,A05,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A05   Outr intox alimentares bacter NCOP,
36,A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Intoxicação alimentar estafilocócica,A05.0 Intox alimentar estafilococica,
37,A051,Botulism,Botulism,Botulism,Botulism,Botulismo,A05.1 Botulismo,
38,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A05.2 Intox alimentar dev Clostridium perfringens,
39,A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Intoxicação alimentar devida a Vibrio parahemolyticus,A05.3 Intox alimentar dev Vibrio parahemolyticus,
40,A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Intoxicação alimentar devida a Bacillus cereus,A05.4 Intox alimentar dev Bacillus cereus,
41,A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Outras intoxicações alimentares bacterianas especificadas,A05.8 Outr intox alimentares bacter espec,
42,A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",Intoxicação alimentar bacteriana não especificada,A05.9 Intox alimentar bacter NE,
43,A06,Amoebiasis,Amoebiasis,Amoebiasis,Amoebiasis,Amebíase,A06   Amebiase,
44,A060,Acute amoebic dysentery,Acute amoebic dysentery,Acute amoebic dysentery,Acute amoebic dysentery,Disenteria amebiana aguda,A06.0 Disenteria amebiana aguda,
45,A061,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Amebíase intestinal crônica,A06.1 Amebiase intestinal cronica,
46,A062,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Colite amebiana não-disentérica,A06.2 Colite amebiana nao-disenterica,
47,A063,Amoeboma of intestine,Amoeboma of intestine,Amoeboma of intestine,Amoeboma of intestine,Ameboma intestinal,A06.3 Ameboma intestinal,
48,A064,Amoebic liver abscess,Amoebic liver abscess,Amoebic liver abscess,Amoebic liver abscess,Abscesso amebiano do fígado,A06.4 Abscesso amebiano do figado,
49,A065,Amoebic lung abscess,Amoebic lung abscess,Amoebic lung abscess,Amoebic lung abscess,Abscesso amebiano do pulmão,A06.5 Abscesso amebiano do pulmao,
50,A066,Amoebic brain abscess,Amoebic brain abscess,Amoebic brain abscess,Amoebic brain abscess,Abscesso amebiano do cérebro,A06.6 Abscesso amebiano do cerebro,
51,A067,Cutaneous amoebiasis,Cutaneous amoebiasis,Cutaneous amoebiasis,Cutaneous amoebiasis,Amebíase cutânea,A06.7 Amebiase cutanea,
52,A068,Amoebic infection of other sites,Amoebic infection of other sites,Amoebic infection of other sites,Amoebic infection of other sites,Infecção amebiana de outras localizações,A06.8 Infecc amebiana de outr localiz,
53,A069,"Amoebiasis, unspecified","Amoebiasis, unspecified","Amoebiasis, unspecified","Amoebiasis, unspecified",Amebíase não especificada,A06.9 Amebiase NE,
54,A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Outras doenças intestinais por protozoários,A07   Outr doenc intestinais p/protozoarios,
55,A070,Balantidiasis,Balantidiasis,Balantidiasis,Balantidiasis,Balantidíase,A07.0 Balantidiase,
56,A071,Giardiasis [lambliasis],Giardiasis [lambliasis],Giardiasis [lambliasis],Giardiasis [lambliasis],Giardíase [lamblíase],A07.1 Giardiase,
57,A072,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,Criptosporidiose,A07.2 Criptosporidiose,
58,A073,Isosporiasis,Isosporiasis,Isosporiasis,Isosporiasis,Isosporíase,A07.3 Isosporiase,
59,A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Outras doenças intestinais especificadas por protozoários,A07.8 Outr doenc intestinais espec p/protozoarios,
60,A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",Doença intestinal não especificada por protozoários,A07.9 Doenc intestinal NE p/protozoarios,
61,A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections,Viral and other specified intestinal infections,Viral and other specified intestinal infections,"Infecções intestinais virais, outras e as não especificadas",A08   Infecc intestinais virais outr e as NE,
62,A080,Rotaviral enteritis,Rotaviral enteritis,Rotaviral enteritis,Rotaviral enteritis,Enterite por rotavírus,A08.0 Enterite p/rotavirus,
63,A081,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Gastroenteropatia aguda pelo agente de Norwalk,A08.1 Gastroenteropatia aguda p/agente de Norwalk,
64,A082,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis,Enterite por adenovírus,A08.2 Enterite p/adenovirus,
65,A083,Other viral enteritis,Other viral enteritis,Other viral enteritis,Other viral enteritis,Outras enterites virais,A08.3 Outr enterites virais,
66,A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",Infecção intestinal devida a vírus não especificado,A08.4 Infecc intestinal dev virus NE,
67,A085,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections,Outras infecções intestinais especificadas,A08.5 Outr infecc intestinais espec,
68,A09,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarréia e gastroenterite de origem infecciosa presumível,A09   Diarreia e gastroenterite orig infecc presum,
69,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculose respiratória, com confirmação bacteriológica e histológica",A15   Tuberc respirat c/conf bacteriol e histolog,
70,A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult,
71,A151,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculose pulmonar, com confirmação somente por cultura",A15.1 Tuberc pulmonar c/conf somente p/cultura,
72,A152,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculose pulmonar, com confirmação histológica",A15.2 Tuberc pulmonar c/conf histolog,
73,A153,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculose pulmonar, com confirmação por meio não especificado",A15.3 Tuberc pulmonar c/conf p/meio NE,
74,A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",A15.4 Tuberc gangl intrator c/conf bacter e histol,
75,A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",A15.5 Tuberc laring traq bronq c/conf bact e hist,
76,A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Pleuris tuberculoso, com confirmação bacteriológica e histológica",A15.6 Pleuris tuberc c/conf bacteriol e histolog,
77,A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",A15.7 Tuberc prim vias respir c/conf bact e histol,
78,A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",A15.8 Outr form tuberc via resp c/conf bact hist,
79,A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",A15.9 Tuberc NE vias respir c/conf bacter histol,
80,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16   Tuberc vias respirat s/conf bacter histol,
81,A160,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative",Tuberculose pulmonar com exames bacteriológico e histológico negativos,A16.0 Tuberc pulmonar c/exames bact e hist negat,
82,A161,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",A16.1 Tuberc pulmonar s/exame bacter ou histolog,
83,A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",A16.2 Tuberc pulmonar s/menc conf bact ou hist,
84,A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",A16.3 Tuberc gangl intrat s/menc conf bact hist,
85,A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",A16.4 Tuberc laring traq bronq s/menc bact hist,
86,A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",A16.5 Pleurisia tuberc s/menc conf bact ou histol,
87,A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A16.7 Tuberc respir prim s/menc conf bact ou hist,
88,A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",A16.8 Outr tuber via resp s/menc conf bact hist,
89,A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",A16.9 Tuberc respirat NE s/menc conf bact ou hist,
90,A17,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculose do sistema nervoso,A17   Tuberc do sist nervoso,
91,A170,Tuberculous meningitis,Tuberculous meningitis,Tuberculous meningitis,Tuberculous meningitis,Meningite tuberculosa,A17.0 Meningite tuberc,
92,A171,Meningeal tuberculoma,Meningeal tuberculoma,Meningeal tuberculoma,Meningeal tuberculoma,Tuberculoma meníngeo,A17.1 Tuberculoma meningeo,
93,A178,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Outras tuberculoses do sistema nervoso,A17.8 Outr tuberc do sist nervoso,
94,A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified",Tuberculose não especificada do sistema nervoso,A17.9 Tuberc NE do sist nervoso,
95,A18,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculose de outros órgãos,A18   Tuberc de outr orgaos,
96,A180,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculose óssea e das articulações,A18.0 Tuberc ossea e das articulacoes,
97,A181,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculose do aparelho geniturinário,A18.1 Tuberc do aparelho geniturinario,
98,A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Linfadenopatia tuberculosa periférica,A18.2 Linfadenopatia tuberc periferica,
99,A183,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",A18.3 Tuberc intestino peritonio gangl mesenter,
100,A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculose de pele e do tecido celular subcutâneo,A18.4 Tuberc de pele e tec celular subcutaneo,
101,A185,Tuberculosis of eye,Tuberculosis of eye,Tuberculosis of eye,Tuberculosis of eye,Tuberculose do olho,A18.5 Tuberc do olho,
102,A186,Tuberculosis of ear,Tuberculosis of ear,Tuberculosis of ear,Tuberculosis of ear,Tuberculose do ouvido,A18.6 Tuberc do ouvido,
103,A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculose das supra-renais,A18.7 Tuberc das supra-renais,
104,A188,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculose de outros órgãos especificados,A18.8 Tuberc de outr orgaos espec,
105,A19,Miliary tuberculosis,Miliary tuberculosis,Miliary tuberculosis,Miliary tuberculosis,Tuberculose miliar,A19   Tuberc miliar,
106,A190,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Tuberculose miliar aguda de localização única e especificada,A19.0 Tuberc miliar aguda de localiz unica espec,
107,A191,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Tuberculose miliar aguda de múltiplas localizações,A19.1 Tuberc miliar aguda de mult localiz,
108,A192,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",Tuberculose miliar aguda não especificada,A19.2 Tuberc miliar aguda NE,
109,A198,Other miliary tuberculosis,Other miliary tuberculosis,Other miliary tuberculosis,Other miliary tuberculosis,Outras tuberculoses miliares,A19.8 Outr tuberc miliares,
110,A199,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",Tuberculose miliar não especificada,A19.9 Tuberc miliar NE,
111,A20,Plague,Plague,Plague,Plague,Peste,A20   Peste,
112,A200,Bubonic plague,Bubonic plague,Bubonic plague,Bubonic plague,Peste bubônica,A20.0 Peste bubonica,
113,A201,Cellulocutaneous plague,Cellulocutaneous plague,Cellulocutaneous plague,Cellulocutaneous plague,Peste celulocutânea,A20.1 Peste celulocutanea,
114,A202,Pneumonic plague,Pneumonic plague,Pneumonic plague,Pneumonic plague,Peste pneumônica,A20.2 Peste pneumonica,
115,A203,Plague meningitis,Plague meningitis,Plague meningitis,Plague meningitis,Peste meníngea,A20.3 Peste meningea,
116,A207,Septicaemic plague,Septicaemic plague,Septicaemic plague,Septicaemic plague,Peste septicêmica,A20.7 Peste septicemica,
117,A208,Other forms of plague,Other forms of plague,Other forms of plague,Other forms of plague,Outras formas de peste,A20.8 Outr form de peste,
118,A209,"Plague, unspecified","Plague, unspecified","Plague, unspecified","Plague, unspecified","Peste, forma não especificada",A20.9 Peste form NE,
119,A21,Tularaemia,Tularaemia,Tularaemia,Tularaemia,Tularemia,A21   Tularemia,
120,A210,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Tularemia ulceroglandular,A21.0 Tularemia ulceroglandular,
121,A211,Oculoglandular tularaemia,Oculoglandular tularaemia,Oculoglandular tularaemia,Oculoglandular tularaemia,Tularemia oculoglandular,A21.1 Tularemia oculoglandular,
122,A212,Pulmonary tularaemia,Pulmonary tularaemia,Pulmonary tularaemia,Pulmonary tularaemia,Tularemia pulmonar,A21.2 Tularemia pulmonar,
123,A213,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Tularemia gastrointestinal,A21.3 Tularemia gastrointestinal,
124,A217,Generalized tularaemia,Generalized tularaemia,Generalized tularaemia,Generalized tularaemia,Tularemia generalizada,A21.7 Tularemia generalizada,
125,A218,Other forms of tularaemia,Other forms of tularaemia,Other forms of tularaemia,Other forms of tularaemia,Outras formas de tularemia,A21.8 Outr form de tularemia,
126,A219,"Tularaemia, unspecified","Tularaemia, unspecified","Tularaemia, unspecified","Tularaemia, unspecified","Tularemia, forma não especificada",A21.9 Tularemia form NE,
127,A22,Anthrax,Anthrax,Anthrax,Anthrax,Carbúnculo,A22   Carbunculo,
128,A220,Cutaneous anthrax,Cutaneous anthrax,Cutaneous anthrax,Cutaneous anthrax,Carbúnculo cutâneo,A22.0 Carbunculo cutaneo,
129,A221,Pulmonary anthrax,Pulmonary anthrax,Pulmonary anthrax,Pulmonary anthrax,Carbúnculo pulmonar,A22.1 Carbunculo pulmonar,
