ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
A022,Localized salmonella infections,Localized salmonella infections,Localized salmonella infections,Localized salmonella infections,Infecções localizadas por salmonela,A02.2 Infecc localizadas p/salmonela
A028,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections,Other specified salmonella infections,Outras infecções especificadas por salmonela,A02.8 Outr infecc espec p/salmonela
A029,"Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified",Infecção não especificada por salmonela,A02.9 Infecc NE p/salmonela
A03,Shigellosis,Shigellosis,Shigellosis,Shigellosis,Shiguelose,A03   Shiguelose
A030,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shigellosis due to Shigella dysenteriae,Shiguelose devida a Shigella dysenteriae,A03.0 Shiguelose dev Shigella dysenteriae
A031,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shigellosis due to Shigella flexneri,Shiguelose devida a Shigella flexneri,A03.1 Shiguelose dev Shigella flexneri
A032,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Shiguelose devida a Shigella boydii,A03.2 Shiguelose dev Shigella boydii
A033,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shigellosis due to Shigella sonnei,Shiguelose devida a Shigella sonnei,A03.3 Shiguelose dev Shigella sonnei
A038,Other shigellosis,Other shigellosis,Other shigellosis,Other shigellosis,Outras shigueloses,A03.8 Outr shigueloses
A039,"Shigellosis, unspecified","Shigellosis, unspecified","Shigellosis, unspecified","Shigellosis, unspecified",Shiguelose não especificada,A03.9 Shiguelose NE
A04,Other bacterial intestinal infections,Other bacterial intestinal infections,Other bacterial intestinal infections,Other bacterial intestinal infections,Outras infecções intestinais bacterianas,A04   Outr infecc intestinais bacter
A040,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,Infecção por Escherichia coli enteropatogênica,A04.0 Infecc p/Escherichia coli enteropatogenica
A041,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,Infecção por Escherichia coli enterotoxigênica,A04.1 Infecc p/Escherichia coli enterotoxigenica
A042,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,Infecção por Escherichia coli enteroinvasiva,A04.2 Infecc p/Escherichia coli enteroinvasiva
A043,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,Infecção por Escherichia coli enterohemorrágica,A04.3 Infecc p/Escherichia coli enterohemorragica
A044,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Outras infecções intestinais por Escherichia coli,A04.4 Outr infecc intestinais p/Escherichia coli
A045,Campylobacter enteritis,Campylobacter enteritis,Campylobacter enteritis,Campylobacter enteritis,Enterite por Campylobacter,A04.5 Enterite p/Campylobacter
A046,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,Enterite devida a Yersinia enterocolítica,A04.6 Enterite dev Yersinia enterocolitica
A047,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolitis due to Clostridium difficile,Enterocolite devida a Clostridium difficile,A04.7 Enterocolite dev Clostridium difficile
A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,Outras infecções bacterianas intestinais especificadas,A04.8 Outr infecc bacter intestinais espec
A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",Infecção intestinal bacteriana não especificada,A04.9 Infecc intestinal bacter NE
A05,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified","Outras intoxicações alimentares bacterianas, não classificadas em outra parte",A05   Outr intox alimentares bacter NCOP
A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,Intoxicação alimentar estafilocócica,A05.0 Intox alimentar estafilococica
A051,Botulism,Botulism,Botulism,Botulism,Botulismo,A05.1 Botulismo
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],A05.2 Intox alimentar dev Clostridium perfringens
A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,Intoxicação alimentar devida a Vibrio parahemolyticus,A05.3 Intox alimentar dev Vibrio parahemolyticus
A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,Intoxicação alimentar devida a Bacillus cereus,A05.4 Intox alimentar dev Bacillus cereus
A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Outras intoxicações alimentares bacterianas especificadas,A05.8 Outr intox alimentares bacter espec
A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",Intoxicação alimentar bacteriana não especificada,A05.9 Intox alimentar bacter NE
A06,Amoebiasis,Amoebiasis,Amoebiasis,Amoebiasis,Amebíase,A06   Amebiase
A060,Acute amoebic dysentery,Acute amoebic dysentery,Acute amoebic dysentery,Acute amoebic dysentery,Disenteria amebiana aguda,A06.0 Disenteria amebiana aguda
A061,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,Amebíase intestinal crônica,A06.1 Amebiase intestinal cronica
A062,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,Colite amebiana não-disentérica,A06.2 Colite amebiana nao-disenterica
A063,Amoeboma of intestine,Amoeboma of intestine,Amoeboma of intestine,Amoeboma of intestine,Ameboma intestinal,A06.3 Ameboma intestinal
A064,Amoebic liver abscess,Amoebic liver abscess,Amoebic liver abscess,Amoebic liver abscess,Abscesso amebiano do fígado,A06.4 Abscesso amebiano do figado
A065,Amoebic lung abscess,Amoebic lung abscess,Amoebic lung abscess,Amoebic lung abscess,Abscesso amebiano do pulmão,A06.5 Abscesso amebiano do pulmao
A066,Amoebic brain abscess,Amoebic brain abscess,Amoebic brain abscess,Amoebic brain abscess,Abscesso amebiano do cérebro,A06.6 Abscesso amebiano do cerebro
A067,Cutaneous amoebiasis,Cutaneous amoebiasis,Cutaneous amoebiasis,Cutaneous amoebiasis,Amebíase cutânea,A06.7 Amebiase cutanea
A068,Amoebic infection of other sites,Amoebic infection of other sites,Amoebic infection of other sites,Amoebic infection of other sites,Infecção amebiana de outras localizações,A06.8 Infecc amebiana de outr localiz
A069,"Amoebiasis, unspecified","Amoebiasis, unspecified","Amoebiasis, unspecified","Amoebiasis, unspecified",Amebíase não especificada,A06.9 Amebiase NE
A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Other protozoal intestinal diseases,Outras doenças intestinais por protozoários,A07   Outr doenc intestinais p/protozoarios
A070,Balantidiasis,Balantidiasis,Balantidiasis,Balantidiasis,Balantidíase,A07.0 Balantidiase
A071,Giardiasis [lambliasis],Giardiasis [lambliasis],Giardiasis [lambliasis],Giardiasis [lambliasis],Giardíase [lamblíase],A07.1 Giardiase
A072,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,Criptosporidiose,A07.2 Criptosporidiose
A073,Isosporiasis,Isosporiasis,Isosporiasis,Isosporiasis,Isosporíase,A07.3 Isosporiase
A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Outras doenças intestinais especificadas por protozoários,A07.8 Outr doenc intestinais espec p/protozoarios
A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",Doença intestinal não especificada por protozoários,A07.9 Doenc intestinal NE p/protozoarios
A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections,Viral and other specified intestinal infections,Viral and other specified intestinal infections,"Infecções intestinais virais, outras e as não especificadas",A08   Infecc intestinais virais outr e as NE
A080,Rotaviral enteritis,Rotaviral enteritis,Rotaviral enteritis,Rotaviral enteritis,Enterite por rotavírus,A08.0 Enterite p/rotavirus
A081,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Gastroenteropatia aguda pelo agente de Norwalk,A08.1 Gastroenteropatia aguda p/agente de Norwalk
A082,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis,Enterite por adenovírus,A08.2 Enterite p/adenovirus
A083,Other viral enteritis,Other viral enteritis,Other viral enteritis,Other viral enteritis,Outras enterites virais,A08.3 Outr enterites virais
A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",Infecção intestinal devida a vírus não especificado,A08.4 Infecc intestinal dev virus NE
A085,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections,Outras infecções intestinais especificadas,A08.5 Outr infecc intestinais espec
A09,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarrhoea and gastroenteritis of presumed infectious origin,Diarréia e gastroenterite de origem infecciosa presumível,A09   Diarreia e gastroenterite orig infecc presum
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculose respiratória, com confirmação bacteriológica e histológica",A15   Tuberc respirat c/conf bacteriol e histolog
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult
A151,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Tuberculose pulmonar, com confirmação somente por cultura",A15.1 Tuberc pulmonar c/conf somente p/cultura
A152,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculose pulmonar, com confirmação histológica",A15.2 Tuberc pulmonar c/conf histolog
A153,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculose pulmonar, com confirmação por meio não especificado",A15.3 Tuberc pulmonar c/conf p/meio NE
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",A15.4 Tuberc gangl intrator c/conf bacter e histol
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",A15.5 Tuberc laring traq bronq c/conf bact e hist
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically","Pleuris tuberculoso, com confirmação bacteriológica e histológica",A15.6 Pleuris tuberc c/conf bacteriol e histolog
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",A15.7 Tuberc prim vias respir c/conf bact e histol
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",A15.8 Outr form tuberc via resp c/conf bact hist
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",A15.9 Tuberc NE vias respir c/conf bacter histol
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16   Tuberc vias respirat s/conf bacter histol
A160,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative",Tuberculose pulmonar com exames bacteriológico e histológico negativos,A16.0 Tuberc pulmonar c/exames bact e hist negat
A161,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done","Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",A16.1 Tuberc pulmonar s/exame bacter ou histolog
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",A16.2 Tuberc pulmonar s/menc conf bact ou hist
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",A16.3 Tuberc gangl intrat s/menc conf bact hist
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",A16.4 Tuberc laring traq bronq s/menc bact hist
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",A16.5 Pleurisia tuberc s/menc conf bact ou histol
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A16.7 Tuberc respir prim s/menc conf bact ou hist
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",A16.8 Outr tuber via resp s/menc conf bact hist
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",A16.9 Tuberc respirat NE s/menc conf bact ou hist
A17,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculose do sistema nervoso,A17   Tuberc do sist nervoso
A170,Tuberculous meningitis,Tuberculous meningitis,Tuberculous meningitis,Tuberculous meningitis,Meningite tuberculosa,A17.0 Meningite tuberc
A171,Meningeal tuberculoma,Meningeal tuberculoma,Meningeal tuberculoma,Meningeal tuberculoma,Tuberculoma meníngeo,A17.1 Tuberculoma meningeo
A178,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Outras tuberculoses do sistema nervoso,A17.8 Outr tuberc do sist nervoso
A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified",Tuberculose não especificada do sistema nervoso,A17.9 Tuberc NE do sist nervoso
A18,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculosis of other organs,Tuberculose de outros órgãos,A18   Tuberc de outr orgaos
A180,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculose óssea e das articulações,A18.0 Tuberc ossea e das articulacoes
A181,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculose do aparelho geniturinário,A18.1 Tuberc do aparelho geniturinario
A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Linfadenopatia tuberculosa periférica,A18.2 Linfadenopatia tuberc periferica
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",A18.3 Tuberc intestino peritonio gangl mesenter
A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculose de pele e do tecido celular subcutâneo,A18.4 Tuberc de pele e tec celular subcutaneo
A185,Tuberculosis of eye,Tuberculosis of eye,Tuberculosis of eye,Tuberculosis of eye,Tuberculose do olho,A18.5 Tuberc do olho
A186,Tuberculosis of ear,Tuberculosis of ear,Tuberculosis of ear,Tuberculosis of ear,Tuberculose do ouvido,A18.6 Tuberc do ouvido
A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculose das supra-renais,A18.7 Tuberc das supra-renais
A188,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculosis of other specified organs,Tuberculose de outros órgãos especificados,A18.8 Tuberc de outr orgaos espec
A19,Miliary tuberculosis,Miliary tuberculosis,Miliary tuberculosis,Miliary tuberculosis,Tuberculose miliar,A19   Tuberc miliar
A190,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Tuberculose miliar aguda de localização única e especificada,A19.0 Tuberc miliar aguda de localiz unica espec
A191,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Tuberculose miliar aguda de múltiplas localizações,A19.1 Tuberc miliar aguda de mult localiz
A192,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",Tuberculose miliar aguda não especificada,A19.2 Tuberc miliar aguda NE
A198,Other miliary tuberculosis,Other miliary tuberculosis,Other miliary tuberculosis,Other miliary tuberculosis,Outras tuberculoses miliares,A19.8 Outr tuberc miliares
A199,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",Tuberculose miliar não especificada,A19.9 Tuberc miliar NE
A20,Plague,Plague,Plague,Plague,Peste,A20   Peste
A200,Bubonic plague,Bubonic plague,Bubonic plague,Bubonic plague,Peste bubônica,A20.0 Peste bubonica
A201,Cellulocutaneous plague,Cellulocutaneous plague,Cellulocutaneous plague,Cellulocutaneous plague,Peste celulocutânea,A20.1 Peste celulocutanea
A202,Pneumonic plague,Pneumonic plague,Pneumonic plague,Pneumonic plague,Peste pneumônica,A20.2 Peste pneumonica
A203,Plague meningitis,Plague meningitis,Plague meningitis,Plague meningitis,Peste meníngea,A20.3 Peste meningea
A207,Septicaemic plague,Septicaemic plague,Septicaemic plague,Septicaemic plague,Peste septicêmica,A20.7 Peste septicemica
A208,Other forms of plague,Other forms of plague,Other forms of plague,Other forms of plague,Outras formas de peste,A20.8 Outr form de peste
A209,"Plague, unspecified","Plague, unspecified","Plague, unspecified","Plague, unspecified","Peste, forma não especificada",A20.9 Peste form NE
A21,Tularaemia,Tularaemia,Tularaemia,Tularaemia,Tularemia,A21   Tularemia
A210,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Ulceroglandular tularaemia,Tularemia ulceroglandular,A21.0 Tularemia ulceroglandular
A211,Oculoglandular tularaemia,Oculoglandular tularaemia,Oculoglandular tularaemia,Oculoglandular tularaemia,Tularemia oculoglandular,A21.1 Tularemia oculoglandular
A212,Pulmonary tularaemia,Pulmonary tularaemia,Pulmonary tularaemia,Pulmonary tularaemia,Tularemia pulmonar,A21.2 Tularemia pulmonar
A213,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Gastrointestinal tularaemia,Tularemia gastrointestinal,A21.3 Tularemia gastrointestinal
A217,Generalized tularaemia,Generalized tularaemia,Generalized tularaemia,Generalized tularaemia,Tularemia generalizada,A21.7 Tularemia generalizada
A218,Other forms of tularaemia,Other forms of tularaemia,Other forms of tularaemia,Other forms of tularaemia,Outras formas de tularemia,A21.8 Outr form de tularemia
A219,"Tularaemia, unspecified","Tularaemia, unspecified","Tularaemia, unspecified","Tularaemia, unspecified","Tularemia, forma não especificada",A21.9 Tularemia form NE
A22,Anthrax,Anthrax,Anthrax,Anthrax,Carbúnculo,A22   Carbunculo
A220,Cutaneous anthrax,Cutaneous anthrax,Cutaneous anthrax,Cutaneous anthrax,Carbúnculo cutâneo,A22.0 Carbunculo cutaneo
A221,Pulmonary anthrax,Pulmonary anthrax,Pulmonary anthrax,Pulmonary anthrax,Carbúnculo pulmonar,A22.1 Carbunculo pulmonar
A222,Gastrointestinal anthrax,Gastrointestinal anthrax,Gastrointestinal anthrax,Gastrointestinal anthrax,Carbúnculo gastrointestinal,A22.2 Carbunculo gastrointestinal
A227,Anthrax septicaemia,Anthrax septicaemia,Anthrax septicaemia,Anthrax septicaemia,Septicemia carbunculosa,A22.7 Septicemia carbunculosa
A228,Other forms of anthrax,Other forms of anthrax,Other forms of anthrax,Other forms of anthrax,Outras formas de carbúnculo,A22.8 Outr form de carbunculo
A229,"Anthrax, unspecified","Anthrax, unspecified","Anthrax, unspecified","Anthrax, unspecified","Carbúnculo, forma não especificada",A22.9 Carbunculo form NE
A23,Brucellosis,Brucellosis,Brucellosis,Brucellosis,Brucelose,A23   Brucelose
